Riddle,Answer
What number becomes zero when you subtract 15 from half of it?,30
I am a two-digit number. My tens digit is five more than my ones digit. What number am I?,50
"The sum of two numbers is 20, and their difference is 4. What are the numbers?",12 and 8
"I am a number. Multiply me by 4, then subtract 6, and you get 18. What number am I?",6
"If two’s company and three’s a crowd, what are four and five?",9
"I am a number. Double me and subtract 10, and you get 50. What number am I?",30
"A farmer has 17 sheep, and all but 9 run away. How many sheep are left?",9
What 3 positive numbers give the same answer when multiplied and added?,"1, 2, and 3"
"I am a three-digit number. My tens digit is five more than my ones digit, and my hundreds digit is eight less than my tens digit. What number am I?",194
"I am a number. Divide me by 2, then add 10, and you get 25. What number am I?",30
How many times can you subtract 10 from 100?,10
"I am a number. If you multiply me by myself and subtract me, you get 56. What number am I?",8
"If it takes 5 minutes to boil 1 egg, how long will it take to boil 5 eggs?",25 minutes
"A man buys a horse for $60, sells it for $70, buys it again for $80, and sells it for $90. How much profit does he make?",$20 
A car travels at a speed of 60 mph. How far will it travel in 45 minutes?,45 miles
"A grandmother, two mothers, and two daughters went to a bakery and bought one cake each. How many cakes did they buy in total?",3
The ages of a father and son add up to 66. The father's age is the son's age reversed. How old are they?,51 and 15
"I am a number. Multiply me by 7, then subtract 8, and you get 41. What number am I?",7
A clock shows 3:15. What is the angle between the hour and minute hands?,7.5 degrees
"What comes next in the sequence: 2, 6, 12, 20, ...?",30
A number has 5 in the tens place and twice that in the ones place. What number is it?,24
A square has a perimeter of 48 cm. What is its area?,144 cm²
"I am a number. Add me to myself and divide by 4, and you get 10. What number am I?",20
"I am a number. If you multiply me by 6 and subtract 9, you get 27. What number am I?",6
A bus can carry 50 people. How many buses are needed to carry 235 people?,5
The sum of two consecutive even numbers is 34. What are the numbers?,16 and 18
I am a three-digit number. My digits add up to 9. The hundreds digit is twice the ones digit. What number am I?,432
You have 10 apples. You take away 3. How many do you have?,3
How can you make 100 using four sevens and a one?,177 - 77
"I am a number. Multiply me by myself and add 20, you get 69. What number am I?",7
